momento_dia,Tobj_0,Tamb_0,dT_0,dT_5,dT_10,dT_20,dT_30,tiempo_hasta_dt5
0,83.97,24.31,60.57,59.20,57.17,52.70,49.15,618
0,72.13,25.97,46.66,45.37,43.64,40.52,37.90,609
0,66.99,24.65,43.28,42.17,40.59,37.80,35.21,583
0,87.67,24.35,64.24,62.86,61.08,56.63,52.68,689
0,46.39,23.89,22.90,22.38,21.83,20.32,18.91,283
0,80.11,24.65,56.23,55.09,53.19,48.83,45.55,596
0,76.77,25.59,51.03,50.29,48.57,45.32,42.00,631
0,78.15,24.63,54.87,52.97,51.36,47.07,43.21,541
0,67.59,25.69,41.90,41.02,39.60,37.93,35.29,533
0,55.95,24.29,31.66,35.42,38.44,37.92,35.48,565
0,72.49,25.03,47.46,46.44,44.94,41.79,39.18,703
0,79.73,25.69,54.04,52.88,50.83,47.09,43.93,639
0,84.51,25.51,59.00,60.23,60.26,57.11,53.98,769
0,99.49,26.17,73.32,71.98,69.96,65.68,60.60,832
1,71.23,24.45,46.28,46.76,46.25,44.03,41.34,565
1,46.81,24.35,22.97,22.01,21.09,19.41,18.18,265
1,79.07,24.81,55.29,53.91,51.85,48.05,44.70,594
1,66.01,24.99,41.80,40.77,39.50,37.15,34.63,504
1,71.27,25.65,46.85,45.36,43.84,40.49,37.60,496
1,64.19,26.11,39.27,38.26,36.39,34.04,31.25,422
1,79.59,27.93,52.34,51.25,49.60,46.43,43.23,588
1,70.99,26.49,45.34,44.24,42.71,39.39,36.34,430
1,64.67,25.75,38.92,41.32,40.81,38.27,35.69,471
1,87.11,26.79,60.32,59.04,56.82,52.68,49.04,703
1,67.29,27.49,39.80,39.05,37.52,34.71,32.21,521
1,69.75,27.31,42.44,41.60,40.05,37.38,34.71,504
1,63.65,28.87,34.78,31.39,30.00,30.65,29.07,508
1,72.39,29.13,43.26,42.66,41.34,38.61,36.27,643
2,83.51,22.01,62.48,61.11,59.12,54.81,50.93,611
2,82.61,22.13,61.36,60.21,58.25,54.39,50.67,657
2,84.65,22.15,63.63,62.17,60.05,55.73,52.51,640
2,72.37,21.05,52.10,51.03,49.37,46.11,43.04,597
2,83.25,22.39,61.99,60.55,58.64,54.49,50.88,738
2,87.93,21.61,67.35,65.98,63.94,59.71,55.86,777
2,77.07,22.31,55.75,54.41,52.60,48.88,45.49,651
2,90.31,23.37,67.55,66.15,64.05,58.93,56.06,934
2,67.59,25.69,41.90,40.85,39.33,37.78,35.26,516
2,66.87,25.59,41.28,40.85,40.04,37.05,34.26,468
2,75.67,27.31,48.36,47.66,46.22,43.32,40.65,657
2,70.95,25.05,45.90,46.05,44.82,41.96,38.41,574
2,57.55,24.45,33.10,32.26,30.98,28.75,26.72,399
2,38.19,24.65,13.54,13.44,13.12,12.51,11.65,193
